Date,Open,High,Low,Close,Adj Close,Volume
10/3/2017,2.36,2.36,2.36,2.36,1.943327,0
13/3/2017,2.36,2.36,2.36,2.36,1.943327,0
14/3/2017,2.36,2.36,2.36,2.36,1.943327,0
15/3/2017,2.36,2.36,2.36,2.36,1.943327,0
16/3/2017,2.36,2.36,2.36,2.36,1.943327,0
17/3/2017,2.36,2.36,2.36,2.36,1.943327,0
20/3/2017,2.36,2.36,2.36,2.36,1.943327,0
21/3/2017,2.36,2.36,2.36,2.36,1.943327,0
22/3/2017,2.36,2.36,2.36,2.36,1.943327,0
23/3/2017,2.36,2.36,2.36,2.36,1.943327,0
24/3/2017,2.36,2.36,2.36,2.36,1.943327,0
27/3/2017,2.36,2.36,2.36,2.36,1.943327,0
28/3/2017,2.36,2.36,2.36,2.36,1.943327,0
29/3/2017,2.36,2.36,2.36,2.36,1.943327,0
30/3/2017,2.36,2.36,2.36,2.36,1.943327,0
31/3/2017,2.36,2.36,2.36,2.36,1.943327,0
3/4/2017,2.36,2.36,2.36,2.36,1.943327,0
4/4/2017,2.36,2.36,2.36,2.36,1.943327,0
5/4/2017,2.36,2.36,2.36,2.36,1.943327,0
6/4/2017,2.36,2.36,2.36,2.36,1.943327,0
7/4/2017,2.36,2.36,2.36,2.36,1.943327,0
10/4/2017,2.36,2.36,2.36,2.36,1.943327,0
11/4/2017,2.36,2.36,2.36,2.36,1.943327,0
12/4/2017,2.36,2.36,2.36,2.36,1.943327,0
13/4/2017,2.36,2.36,2.36,2.36,1.943327,0
17/4/2017,2.36,2.36,2.36,2.36,1.943327,0
18/4/2017,2.36,2.36,2.36,2.36,1.943327,0
19/4/2017,2.36,2.36,2.36,2.36,1.943327,0
20/4/2017,2.36,2.36,2.36,2.36,1.943327,0
21/4/2017,2.36,2.36,2.36,2.36,1.943327,0
24/4/2017,2.36,2.36,2.36,2.36,1.943327,0
25/4/2017,2.36,2.36,2.36,2.36,1.943327,0
26/4/2017,2.36,2.36,2.36,2.36,1.943327,0
27/4/2017,2.36,2.36,2.36,2.36,1.943327,0
28/4/2017,2.36,2.36,2.36,2.36,1.943327,0
1/5/2017,2.36,2.36,2.36,2.36,1.943327,0
2/5/2017,2.36,2.36,2.36,2.36,1.943327,0
3/5/2017,2.36,2.36,2.36,2.36,1.943327,0
4/5/2017,2.36,2.36,2.36,2.36,1.943327,0
5/5/2017,2.36,2.36,2.36,2.36,1.943327,0
8/5/2017,2.36,2.36,2.36,2.36,1.943327,0
